record_id,source,year,country,funder,amount,currency,amount_eur,title,rule_category,llm_category,llm_confidence,llm_quote,url
swecris:P46678-1_Energi,swecris,2018,SE,Swedish Energy Agency ,1964306.0,SEK,174802.31,"Accelerated ageing and voltage disturbances – need, possibilities and limitations",ambiguous,ambiguous,0.75,"A study will be conducted on the need, possibilities and limitations of including voltage disturbances in accelerated aging tests.",https://www.vr.se/english/swecris.html?searchText=P46678-1_Energi
swecris:P42789-1_Energi,swecris,2016,SE,Swedish Energy Agency ,5879000.0,SEK,523168.38,Separating the influence of temperature and current swing on the ageing of a Li-Ion battery,ambiguous,ambiguous,0.75,Separating the influence of temperature and current swing on the ageing of a Li-Ion battery,https://www.vr.se/english/swecris.html?searchText=P42789-1_Energi
swecris:P40798-1_Energi,swecris,2015,SE,Swedish Energy Agency ,920000.0,SEK,81870.2,"Super-Insulating Materials in Building Components & Systems: Long-term Performance, IEA-EBC Annex 65",ambiguous,ambiguous,0.85,The aim is to develop ageing prediction models of super insulation materials,https://www.vr.se/english/swecris.html?searchText=P40798-1_Energi
swecris:P40501-1_Energi,swecris,2015,SE,Swedish Energy Agency ,13320000.0,SEK,1185338.12,Fast-Charging of Large Energy-optimised Li-ion Cells for Electrified Drivelines,ambiguous,ambiguous,0.95,"Quantify and characterise Li-ion battery ageing as a function of load conditions, cell design and cell chemistry.",https://www.vr.se/english/swecris.html?searchText=P40501-1_Energi
swecris:P39786-1_Energi,swecris,2015,SE,Swedish Energy Agency ,7876232.0,SEK,700900.75,Life-Long Battery Control,ambiguous,ambiguous,0.9,This project will develop age-estimating control algorithms,https://www.vr.se/english/swecris.html?searchText=P39786-1_Energi
swecris:P39649-1_Energi,swecris,2015,SE,Swedish Energy Agency ,1260000.0,SEK,112126.58,Service life of district heating pipes – Phase 1 degradation mechanisms and test methods,ambiguous,ambiguous,0.95,accelerated ageing of district heating pipes,https://www.vr.se/english/swecris.html?searchText=P39649-1_Energi
swecris:P39045-1_Energi,swecris,2015,SE,Swedish Energy Agency ,9960000.0,SEK,886333.91,Energy AND Power: Hybrid Supercapacitors,ambiguous,ambiguous,0.95,affecting also life-length and ageing,https://www.vr.se/english/swecris.html?searchText=P39045-1_Energi
swecris:P32519-3_Energi,swecris,2015,SE,Swedish Energy Agency ,3676000.0,SEK,327124.84,Prediction of thermoplastic ageing in biofuels,ambiguous,ambiguous,0.85,Prediction of thermoplastic ageing in biofuels,https://www.vr.se/english/swecris.html?searchText=P32519-3_Energi
swecris:P23-0347_RJ,swecris,2024,SE,Riksbankens Jubileumsfond,4218264.0,SEK,375380.56,Ageing Regions: Turning liabilities into opportunities for regional development,ambiguous,ambiguous,0.7,This project addresses the impacts of an ageing society on regions in Sweden and Denmark.,https://www.vr.se/english/swecris.html?searchText=P23-0347_RJ
swecris:P2025-03173_Energi,swecris,2025,SE,Swedish Energy Agency ,10275000.0,SEK,914365.55,Mass transport in multi-solvent battery electrolytes,ambiguous,ambiguous,0.9,"Electrolytes are central components in batteries and affect important properties such as maximum charge and discharge rate, and ageing.",https://www.vr.se/english/swecris.html?searchText=P2025-03173_Energi
swecris:P2025-03123_Energi,swecris,2025,SE,Swedish Energy Agency ,2779048.0,SEK,247305.67,"Electrode Cross-Talk in Li-ion Batteries: Methods, Mechanisms, and Mitigation",ambiguous,ambiguous,0.92,Electrode cross-talk is an underexplored yet critical ageing process for Li-ion batteries.,https://www.vr.se/english/swecris.html?searchText=P2025-03123_Energi
swecris:P2024-03164_Energi,swecris,2024,SE,Swedish Energy Agency ,5538197.0,SEK,492840.54,"Pathways towards Age-friendly Neighbourhoods: Transnational research, knowledge transfer, collaborative approaches and capacity building for the transition towards the 15-minute city",ambiguous,ambiguous,0.78,"AGE-15 tackles urban ageing challenges such as unwanted isolation, accessibility or safety concerns.",https://www.vr.se/english/swecris.html?searchText=P2024-03164_Energi
swecris:P2024-01005_Energi,swecris,2024,SE,Swedish Energy Agency ,851897.0,SEK,75809.76,Revealing the correlation of synthesis condition and electrochemical performance of ultrahigh-Ni cathode materials,ambiguous,ambiguous,0.95,unravel the reaction and ageing mechanisms of ultrahigh-Ni NMC cathodes,https://www.vr.se/english/swecris.html?searchText=P2024-01005_Energi
swecris:P2023-00983_Energi,swecris,2023,SE,Swedish Energy Agency ,3685716.0,SEK,327989.46,Non-destructive battery aging diagnosis,ambiguous,ambiguous,0.95,Non-destructive battery aging diagnosis,https://www.vr.se/english/swecris.html?searchText=P2023-00983_Energi
swecris:P2023-00600_Energi,swecris,2023,SE,Swedish Energy Agency ,360000.0,SEK,32036.17,Developing a Spectro-electrochemical Method for Operando Monitoring of Capacity Fading in Nickel-rich Battery Cathodes,ambiguous,ambiguous,0.95,how fast a battery will age,https://www.vr.se/english/swecris.html?searchText=P2023-00600_Energi
swecris:P2023-00144_Energi,swecris,2023,SE,Swedish Energy Agency ,6684193.0,SEK,594821.98,Faster fast-charging and extended lifetime of lithium-ion batteries by new onboard monitoring of degradation using feedback from new cheap sensors,ambiguous,ambiguous,0.9,premature battery ageing associated with undermined reliability and safety,https://www.vr.se/english/swecris.html?searchText=P2023-00144_Energi
