record_id,source,year,country,funder,amount,currency,amount_eur,title,rule_category,llm_category,llm_confidence,llm_quote,url
reporter:5R00HL146905-05,reporter,2023,US,National Heart Lung and Blood Institute,248927,USD,214740.34,Investigating the novel role of acetylation in cardiac mitochondrial bioenergetics and function in the aging heart,fundamental_aging,fundamental_aging,0.95,Cardiac mitochondrial dysfunction is central to the pathogenesis of aging and many age related diseases.,https://reporter.nih.gov/project-details/5R00HL146905-05
reporter:2R01NS070577-06A1,reporter,2016,US,National Institute of Neurological Disorders and Stroke,660673,USD,569938.75,Human iPSC-based personalized cell therapy of PD,age_related_disease,age_related_disease,0.97,Human iPSC-based personalized cell therapy of PD,https://reporter.nih.gov/project-details/2R01NS070577-06A1
reporter:1R01ES032247-01,reporter,2020,US,National Institute of Environmental Health Sciences,490160,USD,422843.34,The Long-term Influence of Persistent Organic Pollutants Exposure During and After Pregnancy on Metabolic Decline in Women After Pregnancies Complicated by Gestational Diabetes,age_related_disease,age_related_disease,0.94,Women with gestational diabetes mellitus (GDM) history carry a significantly higher risk of developing type 2 diabetes (T2D) over their lifetime.,https://reporter.nih.gov/project-details/1R01ES032247-01
reporter:1R01GM141698-01A1,reporter,2022,US,National Institute of General Medical Sciences,494647,USD,426714.11,Assay for Detection of Homologous DNA Interactions,age_related_disease,ambiguous,0.7,"Defects in homologous DNA pairing contribute to chromosome missegregation and gross chromosome rearrangements, conditions associated with cancer, premature aging and birth defects.",https://reporter.nih.gov/project-details/1R01GM141698-01A1
reporter:4RF1AG081226-03,reporter,2025,US,National Institute on Aging,2039697,USD,1759572.98,TAKEOFF: Targeting Aging with Ketone Ester in Older adults for Function in Frailty,fundamental_aging,intervention,0.9,Targeting Aging with Ketone Ester in Older adults for Function in Frailty,https://reporter.nih.gov/project-details/4RF1AG081226-03
reporter:5R01HL165205-03,reporter,2024,US,National Heart Lung and Blood Institute,584904,USD,504575.57,Mitochondrial quality control in the heart,fundamental_aging,age_related_disease,0.65,impaired mitophagy in various cardiac diseases,https://reporter.nih.gov/project-details/5R01HL165205-03
reporter:1R03CA283232-01,reporter,2023,US,National Cancer Institute,78000,USD,67287.78,Elucidating the relevance of BARD1-PLK1 interaction in PDAC and response to therapy,fundamental_aging,age_related_disease,0.96,Pancreatic ductal adenocarcinoma (PDAC) is an aggressive cancer with limited treatment options.,https://reporter.nih.gov/project-details/1R03CA283232-01
reporter:1R21AG086701-01A1,reporter,2024,US,National Institute on Aging,442750,USD,381944.44,Heterochronic hepatocyte transplantation to rejuvenate the aged liver,fundamental_aging,intervention,0.9,Heterochronic hepatocyte transplantation to rejuvenate the aged liver,https://reporter.nih.gov/project-details/1R21AG086701-01A1
reporter:1R13AG087675-01,reporter,2024,US,National Institute on Aging,29835,USD,25737.58,Genetic Recombination and Genome Rearrangements,fundamental_aging,ambiguous,0.72,"Genetic recombination covers many areas directly relevant for understanding the biology of aging, cellular senescence, telomere maintenance",https://reporter.nih.gov/project-details/1R13AG087675-01
reporter:5R01HL160895-03,reporter,2024,US,National Heart Lung and Blood Institute,545713,USD,470766.91,Deciphering the role of p16INK4A+ fibroblasts in lung fibrosis,fundamental_aging,fundamental_aging,0.78,"Senescence, a cellular state characterized by an irreversible cell cycle arrest and other morphologic transformations",https://reporter.nih.gov/project-details/5R01HL160895-03
