record_id,source,year,country,funder,amount,currency,amount_eur,title,rule_category,llm_category,llm_confidence,llm_quote,url
cordis:101000236,cordis,2021,FR,European Commission,6999962.25,EUR,6999962.25,GEroNIMO: Genome and Epigenome eNabled breedIng in MOnogastrics,ambiguous,ambiguous,0.95,"traits related to production (quantity and quality), efficiency, productive longevity, fertility, resilience and welfare",https://cordis.europa.eu/project/id/101000236
cordis:101000501,cordis,2021,BE,European Commission,7499517.25,EUR,7499517.25,"ALGAE4IBD –FROM NATURE TO BEDSIDE- ALGAE BASED BIO COMPOUND FOR PREVENTION AND TREATMENT OF INFLAMMATION, PAIN AND IBD",age_related_disease,ambiguous,0.75,develop commercial products for Inflammatory Bowel Disease (IBD) prevention and treatment using aquatic natural biological resources,https://cordis.europa.eu/project/id/101000501
cordis:101002085,cordis,2021,DE,European Commission,1981251,EUR,1981251.0,Engineering perennial barley,ambiguous,fundamental_aging,0.65,trade-off between longevity and seed yield,https://cordis.europa.eu/project/id/101002085
cordis:101002587,cordis,2021,UK,European Commission,1999342,EUR,1999342.0,"Understanding mortality: Biosocial determinants across cohorts, time and place",ambiguous,ambiguous,0.65,"utilize innovative measures of biological risk (epigenetics, microbiome) to understand how life experiences and exposures across cohorts influence trajectories of health and ageing",https://cordis.europa.eu/project/id/101002587
cordis:101002868,cordis,2021,UK,European Commission,1999928.75,EUR,1999928.75,TRansport in the InterioR of the Earth from Modelling and Experiments,ambiguous,ambiguous,0.88,longevity of Earth’s life- and civilization-sustaining magnetic field,https://cordis.europa.eu/project/id/101002868
cordis:101003186,cordis,2022,IT,European Commission,2000000,EUR,2000000.0,Dissecting and targeting senescence programs to advance Hematopoietic Stem Cell-based gene therapies,fundamental_aging,fundamental_aging,0.82,Dissecting and targeting senescence programs to advance Hematopoietic Stem Cell-based gene therapies,https://cordis.europa.eu/project/id/101003186
cordis:101003608,cordis,2020,NL,European Commission,2728340,EUR,2728340.0,Prevention of SARS-CoV-2 infection through development and clinical testing of a novel Virus Like Particle (VLP) vaccine,ambiguous,ambiguous,0.7,Prevention of SARS-CoV-2 infection through development and clinical testing of a novel Virus Like Particle (VLP) vaccine,https://cordis.europa.eu/project/id/101003608
cordis:101005026,cordis,2020,AT,European Commission,3749668.75,EUR,3749668.75,Modern approaches for developing antivirals against SARS-CoV 2,ambiguous,ambiguous,0.85,Modern approaches for developing antivirals against SARS-CoV 2,https://cordis.europa.eu/project/id/101005026
cordis:101005077,cordis,2020,NL,European Commission,36559186.09,EUR,36559186.09,Corona Accelerated R&D in Europe,ambiguous,ambiguous,0.85,development of therapeutics (i) to provide an emergency response towards the current COVID-19 pandemic by drug repositioning,https://cordis.europa.eu/project/id/101005077
cordis:101007630,cordis,2021,ES,European Commission,662400,EUR,662400.0,Se-bioFORtified ALfaLfa for Se-enriched Dairy products,age_related_disease,ambiguous,0.8,Se-bioFORtified ALfaLfa for Se-enriched Dairy products,https://cordis.europa.eu/project/id/101007630
cordis:101008129,cordis,2021,AT,European Commission,1375400,EUR,1375400.0,"Joining forces to exploit the mycobiota of Asia, Africa and Europe for beneficial metabolites and potential biocontrol agents, using -OMICS techniques",ambiguous,ambiguous,0.9,"The common research interest of the partners is basic and applied mycology, and they joined forces to explore the beneficial secondary metabolites",https://cordis.europa.eu/project/id/101008129
cordis:101015756,cordis,2020,IT,European Commission,4021277,EUR,4021277.0,SUPporting high quality evaluation of COVID-19 convalescent Plasma thrOughoutT Europe,ambiguous,ambiguous,0.85,convalescent plasma (CP) from recovered COVID-19 patients has been considered a potential curative strategy,https://cordis.europa.eu/project/id/101015756
cordis:101020037,cordis,2021,UK,European Commission,2499955,EUR,2499955.0,Intergenerational transfer of ageing: effects of maternal age at breeding on offspring performance,fundamental_aging,fundamental_aging,0.94,"Telomere loss and mitochondrial dysfunction in somatic cells are two recognised, interconnected, ‘Hallmarks of Ageing’ linked to individual performance and longevity.",https://cordis.europa.eu/project/id/101020037
cordis:101020135,cordis,2021,ES,European Commission,2973296,EUR,2973296.0,Engineering a lung bacteria to treat idiopatic lung fibrosis and other non-infectious lung diseases,fundamental_aging,age_related_disease,0.86,Engineering a lung bacteria to treat idiopatic lung fibrosis and other non-infectious lung diseases,https://cordis.europa.eu/project/id/101020135
cordis:101020304,cordis,2022,DE,European Commission,2500000,EUR,2500000.0,From Texts to Literature: Demotic Egyptian Papyri and the Formation of the Hebrew Bible,ambiguous,ambiguous,0.95,From Texts to Literature: Demotic Egyptian Papyri and the Formation of the Hebrew Bible,https://cordis.europa.eu/project/id/101020304
cordis:101022905,cordis,2021,DE,European Commission,9931160.13,EUR,9931160.13,Hydropower For You - Sustainable small-scale hydropower in Central Asia,ambiguous,ambiguous,0.92,Sustainable small-scale hydropower in Central Asia,https://cordis.europa.eu/project/id/101022905
cordis:101025661,cordis,2022,DK,European Commission,207312,EUR,207312.0,The Value of Refugees: The Impact of Inter-Asian Tibetan Buddhist Patronage Networks,ambiguous,ambiguous,0.9,The Value of Refugees: The Impact of Inter-Asian Tibetan Buddhist Patronage Networks,https://cordis.europa.eu/project/id/101025661
cordis:101025890,cordis,2022,NL,European Commission,187572.48,EUR,187572.48,DNA methylation as epigenetic clock of biological age? An experimental test in wild birds,fundamental_aging,fundamental_aging,0.95,DNA methylation as epigenetic clock of biological age? An experimental test in wild birds,https://cordis.europa.eu/project/id/101025890
cordis:101026077,cordis,2021,UK,European Commission,212933.76,EUR,212933.76,Romaphobia in the Age of Populism: A Study of UK and Swedish Media and Political Discourse,ambiguous,ambiguous,0.9,This project will investigate contemporary expressions of racism and xenophobia toward the Roma in the context of the growing populism in Europe.,https://cordis.europa.eu/project/id/101026077
cordis:101026482,cordis,2022,ES,European Commission,172932.48,EUR,172932.48,Unaccompanied Minors Automatic Forensic Age Estimation,ambiguous,ambiguous,0.85,UMAFAE’s goal is to develop AI-based algorithms that determine the age of a person.,https://cordis.europa.eu/project/id/101026482
cordis:101027467,cordis,2021,ES,European Commission,160932.48,EUR,160932.48,Replication and post-replication signalling pathways Regulating R-loop-associated Telomere instability in human cells,fundamental_aging,fundamental_aging,0.72,Telomere stability is essential to prevent tumorigenesis and cellular senescence in human cells.,https://cordis.europa.eu/project/id/101027467
cordis:101027897,cordis,2021,PL,European Commission,137625.6,EUR,137625.6,Population-wide analysis of molecular and metabolic features intrinsic to dormancy variability in single seeds,ambiguous,ambiguous,0.9,"Besides germination, vigor and storability or longevity, seed physiological quality also includes seed dormancy",https://cordis.europa.eu/project/id/101027897
cordis:101029004,cordis,2022,ES,European Commission,172932.48,EUR,172932.48,Hypoxic regulation of senescent cells secretome in lung cancer and Alzheimer's disease,fundamental_aging,fundamental_aging,0.9,understanding the mechanisms that modulate the composition and intensity of the SASP is a fundamental biological question with significant translational implications in age-related disorders,https://cordis.europa.eu/project/id/101029004
cordis:101029062,cordis,2022,CH,European Commission,191149.44,EUR,191149.44,Bone healing mechanomics in a mouse model of accelerated aging.,ambiguous,ambiguous,0.65,Bone healing mechanomics in a mouse model of accelerated aging.,https://cordis.europa.eu/project/id/101029062
cordis:101030577,cordis,2021,CH,European Commission,191149.44,EUR,191149.44,Multifunctional Nanoscale Probe for Investigation of Intracellular Processes,age_related_disease,ambiguous,0.7,"The ability to monitor and investigate intracellular processes is crucial for biomedical, cancer and aging research",https://cordis.europa.eu/project/id/101030577
cordis:101034814,cordis,2021,IT,European Commission,100000,EUR,100000.0,Secure authentication with high-entropy silicon physical unclonable functions,ambiguous,ambiguous,0.9,the challenge-response mapping (the unclonable function) is fully repeatable with aging and with varying environmental conditions,https://cordis.europa.eu/project/id/101034814
cordis:101036640,cordis,2022,AT,European Commission,4996098.75,EUR,4996098.75,"SHARED GREEN DEAL: Social sciences & Humanities for Achieving a Responsible, Equitable and Desirable GREEN DEAL",ambiguous,ambiguous,0.95,"SHARED GREEN DEAL: Social sciences & Humanities for Achieving a Responsible, Equitable and Desirable GREEN DEAL",https://cordis.europa.eu/project/id/101036640
cordis:101040247,cordis,2022,FI,European Commission,1499494,EUR,1499494.0,Effects of mental disorders on the wellbeing and prosperity of family members and friends,ambiguous,ambiguous,0.85,Effects of mental disorders on the wellbeing and prosperity of family members and friends,https://cordis.europa.eu/project/id/101040247
cordis:101041331,cordis,2022,NL,European Commission,1500000,EUR,1500000.0,Elucidating and targeting the mechanisms encoded in the genome of long-lived individuals to improve healthy ageing,age_related_disease,fundamental_aging,0.92,"by studying the genome of long-lived individuals, we may be able to identify mechanisms that could be targeted for healthy ageing in the general population",https://cordis.europa.eu/project/id/101041331
cordis:101042643,cordis,2022,IE,European Commission,1417818,EUR,1417818.0,Deciphering Irish Alcohol and Substance use: Post-war Representations and Accounts,ambiguous,ambiguous,0.95,Deciphering Irish Alcohol and Substance use: Post-war Representations and Accounts,https://cordis.europa.eu/project/id/101042643
cordis:101043983,cordis,2022,DK,European Commission,2000000,EUR,2000000.0,Towards a transdisciplinary demographic theory of birth and death trajectories,ambiguous,ambiguous,0.7,develop a shared theoretical framework of birth and death trajectories,https://cordis.europa.eu/project/id/101043983
cordis:101044248,cordis,2023,ES,European Commission,1999944,EUR,1999944.0,Letting up senescence and inflammaging  through T cells,fundamental_aging,fundamental_aging,0.92,time-dependent deterioration of T lymphocytes contributes not only to immunosenescence but also to the general aging process,https://cordis.europa.eu/project/id/101044248
cordis:101044915,cordis,2023,PT,European Commission,1999930,EUR,1999930.0,"Tracing Queer Citizenship over Time:  Ageing, ageism and age-related LGBTI+ politics in Europe",ambiguous,ambiguous,0.7,"age-sensitive, analytical lens focused on ageing, ageism and age-related LGBTI+ politics",https://cordis.europa.eu/project/id/101044915
cordis:101046182,cordis,2021,AT,European Commission,7988724.25,EUR,7988724.25,"Novel, orally available immune modulator MP1032 with anti-SARS-CoV-2 and anti-cytokine activity",ambiguous,ambiguous,0.8,"Novel, orally available immune modulator MP1032 with anti-SARS-CoV-2 and anti-cytokine activity",https://cordis.europa.eu/project/id/101046182
cordis:101046928,cordis,2022,NO,European Commission,3547046,EUR,3547046.0,Long-term Microphysiological Sample Imaging for Evaluation of Polypharmacy in Liver,ambiguous,ambiguous,0.7,"Polypharmacy is becoming a major issue in the ageing population, as well over 10% of hospital admissions for people over 60 years of age are due to currently unknown interactions",https://cordis.europa.eu/project/id/101046928
cordis:101047120,cordis,2022,HU,European Commission,2988434.75,EUR,2988434.75,NATURAL INTRAOCULAR PHOTOACTIVATION OF COMPOUNDS TO FIGHT RETINOPATHIES,age_related_disease,age_related_disease,0.95,"These diseases, including age-related macular degeneration and proliferative diabetic retinopathy share neovascularization as a common etiology",https://cordis.europa.eu/project/id/101047120
cordis:101053352,cordis,2022,DE,European Commission,2486183,EUR,2486183.0,The cardiac neurovascular interface in aging,fundamental_aging,fundamental_aging,0.86,we will decipher the underlying mechanisms mediating the reduction of axon density in the aging heart,https://cordis.europa.eu/project/id/101053352
cordis:101054899,cordis,2022,DE,European Commission,2225906,EUR,2225906.0,Clonal hematopoesis of indeterminate potential and degenerative aortic valve stenosis,fundamental_aging,age_related_disease,0.82,Degenerative aortic valve stenosis is the most common acquire heart valve disease,https://cordis.europa.eu/project/id/101054899
cordis:101055013,cordis,2022,NL,European Commission,2293558,EUR,2293558.0,Nanoscale Isotropic 3D Resolution using Omni-view Structured Light Sheet Microscopy,ambiguous,ambiguous,0.95,Nanoscale Isotropic 3D Resolution using Omni-view Structured Light Sheet Microscopy,https://cordis.europa.eu/project/id/101055013
cordis:101056777,cordis,2022,EL,European Commission,4995098,EUR,4995098.0,L-vehicles Emissions and Noise mitigation Solutions,ambiguous,ambiguous,0.95,"LENS is a project aiming at assisting enforcement authorities, cities and regulators to decrease the contribution of L-category vehicles",https://cordis.europa.eu/project/id/101056777
cordis:101057250,cordis,2022,BE,European Commission,5999381,EUR,5999381.0,RNA PROCESSING FOR ANTI-CANCER IMMUNOTHERAPY,age_related_disease,age_related_disease,0.95,The overarching aim of this multi-armed project is to develop RNA-based cancer treatments.,https://cordis.europa.eu/project/id/101057250
