category,term,lang,is_trap,atlas_hits,prec_llm_proxy,expert_hits,prec_expert,gate1,gate2,census_ambiguous_hits,census_ambiguous_eur_m,decision,example_record_id,context
age_related_disease,fractures,en,False,9,0.889,9,0.778,True,True,32,10.5,admit,swecris:2018-00462_VR, – Hip Screws or (Total) Hip Replacement for undisplaced femoral neck fractures in elderly patients Femoral neck fractures (FNFs) are a great challen
age_related_disease,retinal,en,False,8,0.625,8,0.75,True,True,27,24.25,admit,reporter:1K99EY034938-01,"Partial epigenetic reprogramming of retinal pigment cells in age-related degeneration, dysfunction, and injury Pa"
age_related_disease,complications,en,False,11,0.636,11,0.636,True,True,80,40.41,admit,swecris:2019-01382_VR,CanOptiPhys: OPTImizing PHYSical function before surgery: effects on complications and quality of life after gastrointestinal CANcer surgey in older peo
fundamental_aging,reproduction,en,False,6,0.667,6,1.0,True,True,22,8.63,admit,reporter:5R01GM114170-05,nction of the underlying neural circuit responsible for regulation of reproduction.
fundamental_aging,mirnas,en,False,7,1.0,7,1.0,True,True,31,15.04,admit,reporter:1R21AG054894-01A1,
fundamental_aging,foxo,en,False,3,0.667,3,1.0,True,True,0,0.0,admit,reporter:3R01AG027060-11S1,
fundamental_aging,impairs,en,False,3,0.667,3,1.0,True,True,15,5.6,admit,swecris:2025-01999_KI,oach This project addresses a critical gap in understanding how aging impairs wound healing by generating a high-resolution single-cell multi-omics
fundamental_aging,neurogenesis,en,False,3,1.0,3,1.0,True,True,15,4.84,admit,reporter:5R01AG066768-04, of enteric Juvenile Protective Factors and their role in stimulating neurogenesis in the adult and ageing Enteric Nervous System Aging is associated wi
fundamental_aging,identifying genetic,en,False,3,0.667,3,1.0,True,True,1,0.53,admit,reporter:5K01AG046432-02,"rstanding the genetics, physiology and pathology of aging, as well as identifying genetic loci and genes that regulate aging and healthspan"
fundamental_aging,systems biology,en,False,3,1.0,3,1.0,True,True,31,43.39,admit,reporter:5U19AG057377-02,
fundamental_aging,evolutionarily conserved,en,False,4,1.0,4,1.0,True,True,20,10.84,admit,cordis:709015,logical mechanisms that govern ageing can facilitate the discovery of evolutionarily conserved factors
fundamental_aging,evolutionarily,en,False,4,1.0,4,1.0,True,True,20,10.84,admit,cordis:709015,logical mechanisms that govern ageing can facilitate the discovery of evolutionarily conserved factors
fundamental_aging,germline,en,False,3,0.667,3,1.0,True,True,27,11.12,admit,reporter:5R01GM100315-07,"ll competition and their mammalian homologues We tested for mammalian germline stem cell competitions, for HSC competitions in aging, and in the pro"
fundamental_aging,hypothalamic,en,False,4,1.0,4,1.0,True,True,5,1.25,admit,reporter:5R01AG031774-10,ing early aging to induce neuronal inflammation and thus mediates the hypothalamic mechanism of aging
fundamental_aging,tractable,en,False,3,1.0,3,1.0,True,True,26,9.19,admit,reporter:1R21AG047931-01A1,ult brain this project seeks to establish Drosophila as a genetically tractable and quickly aging model system to study and manipulate cell cycle re-
fundamental_aging,inflamm,en,False,4,1.0,4,1.0,True,True,2,0.37,admit,reporter:5P60AA009803-26,
fundamental_aging,nutrient,en,False,12,0.667,12,0.917,True,True,43,11.0,admit,swecris:2024-06463_VR,d aging A hallmark of aging is the decline in the ability to adapt to nutrient availability (metabolic flexibility).
fundamental_aging,underlie,en,False,7,0.714,7,0.857,True,True,101,35.16,admit,reporter:5R01AG045036-04, the fundamental epigenetic mechanisms and physiological changes that underlie the effects of poor nutrition during critical periods of development 
fundamental_aging,lived,en,False,13,0.846,13,0.846,True,True,68,42.03,admit,cordis:101041331,lucidating and targeting the mechanisms encoded in the genome of long-lived individuals to improve healthy ageing by studying the genome of long-
fundamental_aging,hematopoietic stem cells,en,False,6,1.0,6,0.833,True,True,40,16.48,admit,reporter:1R21AG054894-01A1,CRISPR screen of microRNAs that regulate the regenertive potential of hematopoietic stem cells To gain insight into the molecular mechanisms of age-associated decli
fundamental_aging,mtdna,en,False,10,0.9,10,0.8,True,True,14,6.64,admit,swecris:2015-02657_VR,
fundamental_aging,brain iron,en,False,5,0.8,5,0.8,True,True,3,0.87,admit,swecris:2018-01327_VR,"The impact of genetic, biological and lifestyle factors on brain iron load: Consequences for motor and cognitive functions in adulthood and"
fundamental_aging,mechanisms associated,en,False,5,0.8,5,0.8,True,True,21,8.6,admit,reporter:1R21AG085140-01,human brain and adipose and their inter-organ communication Molecular mechanisms associated with pathological tissue aging can be learned by comparing the differ
fundamental_aging,required,en,False,5,1.0,5,0.8,True,True,227,98.45,admit,cordis:637801," attempts to fulfil this ambition, and thus innovative approaches are required to better understand the underlying biology."
fundamental_aging,homeostatic,en,False,5,0.6,5,0.8,True,True,45,15.11,admit,reporter:5U19AI116491-02,tion interrogate the role of human aging and biological rhythms in GI homeostatic responses to infection
fundamental_aging,stress resistance,en,False,5,1.0,5,0.8,True,True,10,4.57,admit,reporter:1P01AG055369-01A1,"n dietary restriction, IGF reduction, and H2S expression, integrating stress resistance and fitness during aging"
fundamental_aging,focusing,en,False,4,0.75,4,0.75,True,True,155,115.57,admit,swecris:2025-06686_VR,"s project explores how aging affects antibody structure and function, focusing on their role in protecting—or failing to protect—against respiratory"
fundamental_aging,underlying mechanisms,en,False,8,0.75,8,0.75,True,True,83,27.96,admit,reporter:5R01AG070704-04,man primate longitudinal model identify early biomarkers/pathways and underlying mechanisms of ELA-related accelerated neural aging trajectories
fundamental_aging,memory deficits,en,False,4,0.75,4,0.75,True,True,14,5.98,admit,swecris:2018-01609_VR,rgetting to adult aging and mood examine how such processes relate to memory deficits in adult aging and mood
fundamental_aging,immune system,en,False,12,0.667,12,0.75,True,True,85,55.45,admit,swecris:2018-06156_VR,erstand the role of antiretroviral therapy in premature ageing of the immune system in HIV-infection unravel the physiological and molecular pathways tha
fundamental_aging,axis,en,False,7,0.714,7,0.714,True,True,56,20.55,admit,reporter:5U01AG086145-02,
fundamental_aging,hiv infection,en,False,10,0.7,10,0.7,True,True,37,19.6,admit,swecris:2018-06156_VR,
fundamental_aging,stem cells,en,False,23,0.826,23,0.696,True,True,185,64.74,admit,reporter:1R21AG054894-01A1,of microRNAs that regulate the regenertive potential of hematopoietic stem cells To gain insight into the molecular mechanisms of age-associated decli
fundamental_aging,stem cell,en,False,41,0.707,41,0.683,True,True,152,66.02,admit,reporter:5R01GM100315-07,"Genes, cells, and pathways that regulate urochordate allogeneic stem cell competition and their mammalian homologues We tested for mammalian ge"
fundamental_aging,itself,en,False,6,0.667,6,0.667,True,True,66,32.83,admit,reporter:5R01AG056436-04,ying the genetics of aging A fundamental question is whether aging is itself causal of disease or if aging is the result of generalized accumulati
fundamental_aging,biological mechanisms,en,False,21,0.667,21,0.667,True,True,158,77.8,admit,reporter:5R01AG061155-02, Alzheimer's Disease targeting aging is one such approach... Studying biological mechanisms and populations that delay aging may lead to the identification of mo
fundamental_aging,nervous system,en,False,6,0.667,6,0.667,True,True,110,48.08,admit,reporter:5R01AG066768-04,
fundamental_aging,interest,en,False,8,0.625,8,0.625,True,True,145,60.57,admit,reporter:3P30AG068635-02S1,"ses and the overall functional decline in individuals, there is great interest in understanding its biological underpinnings"
fundamental_aging,molecular mechanisms,en,False,45,0.667,45,0.622,True,True,239,132.13,admit,reporter:1R21AG054894-01A1,"ertive potential of hematopoietic stem cells To gain insight into the molecular mechanisms of age-associated decline in HSC function, we propose to investigate "
fundamental_aging,disrupted,en,False,5,1.0,5,0.6,True,True,26,12.49,admit,cordis:659030, important role in synapse maintenance and that synaptic autophagy is disrupted during ageing and in neurodegenerative diseases.
fundamental_aging,gene expression,en,False,15,0.6,15,0.6,True,True,274,161.7,admit,reporter:5R21AG057977-02,tion of Aged Hematopoietic Stem Cells HSCs undergo complex changes in gene expression during aging. Whether these changes are responsible for HSC aging...
fundamental_aging,exhibit,en,False,5,0.8,5,0.6,True,True,116,56.33,admit,reporter:1R36AG087309-01, A/C is required for maintaining subsynaptic myonuclei integrity NMJs exhibit structural and functional disruptions including a complete loss of in
social_population_aging,lives,en,False,9,0.778,9,1.0,True,True,62,28.65,admit,cordis:643850,
social_population_aging,journal,en,False,5,1.0,5,0.6,True,True,52,14.56,admit,swecris:2024-02201_Forte,"Äldre i Centrum – scientific supplement, journal and website Äldre i Centrum Vetenskapligt Supplement, ÄiCVS, is a new"
fundamental_aging,abilities,en,False,4,0.25,4,1.0,False,True,29,7.68,reject_gate1,swecris:2017-01759_VR,Longitudinal trajectories of olfactory abilities: What predicts old-age olfactory memory decline? We aim to do a thoro
fundamental_aging,dietary restriction,en,True,12,0.417,12,0.917,False,True,15,5.9,reject_gate1,reporter:1R01AG052606-01A1,Effects of dietary restriction on age-related neurophysiological adaptations: from behavior to singl
fundamental_aging,healthier,en,False,6,0.333,6,0.667,False,True,28,15.66,reject_gate1,swecris:2024-01444_Forte,"Personalised diet for healthier longevity: the role of dietary changes, sensitive windows of exposure"
fundamental_aging,single cell,en,False,12,0.583,12,0.667,False,True,109,80.52,reject_gate1,swecris:2025-01999_KI,
fundamental_aging,cognitive performance,en,False,5,0.4,5,0.6,False,True,16,4.09,reject_gate1,swecris:2018-01327_VR," the effects of brain iron accumulation on brain integrity, motor and cognitive performance as we age"
social_population_aging,social inequalities,en,False,4,0.25,4,1.0,False,True,4,2.34,reject_gate1,swecris:2016-07206_Forte,"that must be filled by families or other agents, which might increase social inequalities."
social_population_aging,housing,en,False,19,0.211,19,0.842,False,True,27,14.95,reject_gate1,swecris:2023-02315_Formas,"being developing novel, accessible and scalable intermediate forms of housing to counteract unwanted social isolation and negative effects on the p"
social_population_aging,choices,en,False,5,0.2,5,0.8,False,True,20,6.54,reject_gate1,swecris:2022-00521_VR,
age_related_disease,risk factors,en,False,26,0.885,26,0.538,True,False,149,58.62,reject_gate2,cordis:645648,"states to innovative translation in applied myology. Major underlying risk factors of chronic muscle force loss are ageing, inactive lifestyles, and unb"
fundamental_aging,hematopoietic stem,en,False,12,0.833,12,0.583,True,False,60,27.11,reject_gate2,reporter:1R21AG054894-01A1,CRISPR screen of microRNAs that regulate the regenertive potential of hematopoietic stem cells To gain insight into the molecular mechanisms of age-associated
fundamental_aging,chromatin,en,False,25,0.68,25,0.52,True,False,138,69.88,reject_gate2,swecris:2015-03740_VR,"Regulation of aging by DAF-16/FOXO, its cofactors, and the chromatin landscape Regulation of aging by DAF-16/FOXO, its cofactors, and the "
fundamental_aging,epigenetic mechanisms,en,False,6,0.667,6,0.5,True,False,43,13.34,reject_gate2,reporter:5R01AG045036-04,Priming of Metabolism and Aging in Drosophila dissect the fundamental epigenetic mechanisms and physiological changes that underlie the effects of poor nutrition
age_related_disease,randomized controlled trial,en,False,6,0.5,6,0.5,False,False,20,8.95,reject_both,swecris:2022-01122_Forte,
age_related_disease,randomized controlled,en,False,6,0.5,6,0.5,False,False,23,10.69,reject_both,swecris:2022-01122_Forte,
age_related_disease,controlled trial,en,False,8,0.375,8,0.375,False,False,22,9.57,reject_both,swecris:2022-01122_Forte,
age_related_disease,condition,en,False,14,0.429,14,0.286,False,False,83,37.43,reject_both,reporter:5R01AG069915-03,"the genitourinary syndrome of menopause (GSM), a progressive, chronic condition related to estrogen decline"
care,person centred,en,False,0,0.0,0,0.0,False,False,0,0.0,reject_both,swecris:2024-01840_Forte,
fundamental_aging,regulator,en,False,12,0.583,12,0.583,False,False,83,34.12,reject_both,cordis:101105584,Role of extracellular matrix as regulator of ageing through mechanosignaling we hypothesize that the culprit of
fundamental_aging,mechanisms underlying,en,False,19,0.579,19,0.579,False,False,191,73.74,reject_both,cordis:659030,Molecular mechanisms underlying synaptic maintenance and rejuvenation I hypothesize that autophagy pl
fundamental_aging,regulated,en,False,7,0.429,7,0.571,False,False,194,82.66,reject_both,reporter:1K99NS109286-01,ding how all stages of autophagy change with age and how autophagy is regulated during aging will be important for developing treatments for age-rela
fundamental_aging,rhythms,en,False,10,0.2,10,0.5,False,False,38,10.82,reject_both,reporter:3R01AG065993-03S1,"the onset of age-related declines in health, cognition, and circadian rhythms dietary interventions can support circadian clock function and promot"
fundamental_aging,extracellular matrix,en,False,8,0.5,8,0.5,False,False,72,26.75,reject_both,reporter:5I01BX002145-03,
fundamental_aging,regulating,en,False,20,0.4,20,0.35,False,False,194,65.21,reject_both,reporter:5R01AG049711-05,Systemic inflammation in regulating the onset and progression of brain aging The goal of the proposed wor
fundamental_aging,training program,en,False,20,0.2,20,0.2,False,False,176,46.33,reject_both,reporter:2T32AG058503-06,
social_population_aging,old age,en,False,15,0.333,15,0.467,False,False,91,35.33,reject_both,swecris:2015-01360_Forte,Who lives alone during old age? Investigating the diverse conditions and prospects for healthy agein
